team1,team2,t1Form,t2Form,winner
Deccan Chargers,Chennai Super Kings,0,1,Chennai Super Kings
Delhi Daredevils,Chennai Super Kings,0,2,Chennai Super Kings
Kings XI Punjab,Chennai Super Kings,0,3,Chennai Super Kings
Kolkata Knight Riders,Chennai Super Kings,0,4,Chennai Super Kings
Kolkata Knight Riders,Chennai Super Kings,0,5,Chennai Super Kings
Rajasthan Royals,Chennai Super Kings,1,4,Rajasthan Royals
Royal Challengers Bangalore,Chennai Super Kings,1,3,Royal Challengers Bangalore
Chennai Super Kings,Deccan Chargers,2,1,Deccan Chargers
Delhi Daredevils,Deccan Chargers,1,1,Delhi Daredevils
Kolkata Knight Riders,Deccan Chargers,1,1,Kolkata Knight Riders
Mumbai Indians,Deccan Chargers,0,2,Deccan Chargers
Mumbai Indians,Deccan Chargers,1,2,Mumbai Indians
Royal Challengers Bangalore,Deccan Chargers,2,1,Royal Challengers Bangalore
Chennai Super Kings,Delhi Daredevils,1,2,Delhi Daredevils
Deccan Chargers,Delhi Daredevils,1,3,Delhi Daredevils
Kolkata Knight Riders,Delhi Daredevils,2,3,Kolkata Knight Riders
Mumbai Indians,Delhi Daredevils,1,4,Delhi Daredevils
Mumbai Indians,Delhi Daredevils,2,3,Mumbai Indians
Rajasthan Royals,Delhi Daredevils,1,3,Delhi Daredevils
Rajasthan Royals,Delhi Daredevils,2,2,Rajasthan Royals
Royal Challengers Bangalore,Delhi Daredevils,2,3,Delhi Daredevils
Chennai Super Kings,Kings XI Punjab,1,0,Chennai Super Kings
Chennai Super Kings,Kings XI Punjab,2,0,Chennai Super Kings
Deccan Chargers,Kings XI Punjab,1,1,Kings XI Punjab
Deccan Chargers,Kings XI Punjab,0,2,Kings XI Punjab
Delhi Daredevils,Kings XI Punjab,2,3,Kings XI Punjab
Delhi Daredevils,Kings XI Punjab,2,4,Kings XI Punjab
Royal Challengers Bangalore,Kings XI Punjab,2,5,Kings XI Punjab
Royal Challengers Bangalore,Kings XI Punjab,2,5,Kings XI Punjab
Deccan Chargers,Kolkata Knight Riders,0,3,Kolkata Knight Riders
Kings XI Punjab,Kolkata Knight Riders,5,3,Kings XI Punjab
Kings XI Punjab,Kolkata Knight Riders,4,4,Kolkata Knight Riders
Rajasthan Royals,Kolkata Knight Riders,3,3,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,3,2,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,3,3,Mumbai Indians
Kings XI Punjab,Mumbai Indians,4,2,Kings XI Punjab
Kings XI Punjab,Mumbai Indians,4,2,Kings XI Punjab
Kolkata Knight Riders,Mumbai Indians,2,2,Mumbai Indians
Kolkata Knight Riders,Mumbai Indians,1,3,Mumbai Indians
Rajasthan Royals,Mumbai Indians,3,3,Mumbai Indians
Royal Challengers Bangalore,Mumbai Indians,1,4,Mumbai Indians
Chennai Super Kings,Rajasthan Royals,3,3,Rajasthan Royals
Chennai Super Kings,Rajasthan Royals,2,4,Rajasthan Royals
Deccan Chargers,Rajasthan Royals,0,4,Rajasthan Royals
Deccan Chargers,Rajasthan Royals,0,4,Rajasthan Royals
Delhi Daredevils,Rajasthan Royals,1,5,Rajasthan Royals
Kings XI Punjab,Rajasthan Royals,4,4,Kings XI Punjab
Kings XI Punjab,Rajasthan Royals,3,4,Rajasthan Royals
Kolkata Knight Riders,Rajasthan Royals,1,4,Rajasthan Royals
Mumbai Indians,Rajasthan Royals,4,4,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,0,4,Rajasthan Royals
Chennai Super Kings,Royal Challengers Bangalore,2,0,Chennai Super Kings
Deccan Chargers,Royal Challengers Bangalore,0,1,Royal Challengers Bangalore
Delhi Daredevils,Royal Challengers Bangalore,2,1,Delhi Daredevils
Kolkata Knight Riders,Royal Challengers Bangalore,1,1,Kolkata Knight Riders
Kolkata Knight Riders,Royal Challengers Bangalore,2,1,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bangalore,3,2,Royal Challengers Bangalore
Rajasthan Royals,Royal Challengers Bangalore,5,1,Rajasthan Royals
Delhi Daredevils,Chennai Super Kings,2,1,Delhi Daredevils
Mumbai Indians,Chennai Super Kings,2,2,Chennai Super Kings
Mumbai Indians,Chennai Super Kings,2,2,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,4,3,Chennai Super Kings
Chennai Super Kings,Deccan Chargers,3,0,Chennai Super Kings
Chennai Super Kings,Deccan Chargers,3,1,Deccan Chargers
Delhi Daredevils,Deccan Chargers,2,2,Deccan Chargers
Delhi Daredevils,Deccan Chargers,3,2,Delhi Daredevils
Kings XI Punjab,Deccan Chargers,4,2,Kings XI Punjab
Kolkata Knight Riders,Deccan Chargers,2,3,Deccan Chargers
Kolkata Knight Riders,Deccan Chargers,2,3,Deccan Chargers
Royal Challengers Bangalore,Deccan Chargers,2,2,Royal Challengers Bangalore
Chennai Super Kings,Delhi Daredevils,3,3,Chennai Super Kings
Deccan Chargers,Delhi Daredevils,2,3,Delhi Daredevils
Kings XI Punjab,Delhi Daredevils,3,3,Delhi Daredevils
Kolkata Knight Riders,Delhi Daredevils,2,4,Delhi Daredevils
Kolkata Knight Riders,Delhi Daredevils,1,4,Delhi Daredevils
Mumbai Indians,Delhi Daredevils,1,5,Delhi Daredevils
Mumbai Indians,Delhi Daredevils,1,5,Delhi Daredevils
Royal Challengers Bangalore,Delhi Daredevils,2,5,Delhi Daredevils
Chennai Super Kings,Kings XI Punjab,4,2,Chennai Super Kings
Chennai Super Kings,Kings XI Punjab,4,1,Chennai Super Kings
Deccan Chargers,Kings XI Punjab,2,2,Kings XI Punjab
Delhi Daredevils,Kings XI Punjab,4,2,Kings XI Punjab
Kolkata Knight Riders,Kings XI Punjab,0,3,Kings XI Punjab
Rajasthan Royals,Kings XI Punjab,4,3,Rajasthan Royals
Royal Challengers Bangalore,Kings XI Punjab,2,4,Kings XI Punjab
Royal Challengers Bangalore,Kings XI Punjab,2,3,Royal Challengers Bangalore
Chennai Super Kings,Kolkata Knight Riders,3,1,Kolkata Knight Riders
Kings XI Punjab,Kolkata Knight Riders,2,2,Kolkata Knight Riders
Mumbai Indians,Kolkata Knight Riders,2,2,Mumbai Indians
Mumbai Indians,Kolkata Knight Riders,3,2,Mumbai Indians
